intra_threads,inter_threads,batch_size,data_load_time_sec,model_init_time_sec,train_time_total_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,eval_time_sec,test_accuracy
2,2,64,2.3195423470001515,0.0040032429999428,1785.750134691,649.3479044290148,1077.1714837250124,3.979381625992119,23.60471888899974,0.6194
2,3,64,2.0734567409999727,0.0044048239997209,1747.9846572109996,628.458944361992,1061.5061134769917,3.989359323019016,24.497119525000016,0.6194
2,4,64,1.9856199750001904,0.0045466379997378,1744.632107175,625.7951044909832,1060.8531553320308,4.006825523015323,24.13786039499973,0.6194
3,1,64,1.9886158239996805,0.0057787619998634,1838.413402684,655.3933585039267,1134.1427734069805,3.546134214934682,21.958265789000507,0.6026
3,2,64,2.0201539830013644,0.0057637530007923,1816.183550418,644.7227629489407,1123.189273426029,3.507822083969586,21.73273348099974,0.6026
3,3,64,2.1004640940009267,0.0053644039999198,1797.8266882469998,640.4050348599776,1110.222609992008,3.474409971944624,22.668628589000942,0.6026
3,4,64,2.1603813950005133,0.006584318998648,1841.419666867001,648.1637479309738,1142.2886916690911,3.712307220970615,23.0773747610001,0.6026
4,1,64,2.1008088199996564,0.0048632500001986,1794.4394300959991,642.0548790550565,1101.8814388259998,3.592939397009104,24.38749812199967,0.6194
4,2,64,2.1664760790008586,0.0082038340005965,1810.0237398829995,653.8588750960262,1104.8313995990502,3.621919153963972,22.220574528000725,0.6194
4,3,64,2.103738382997108,0.0049523480010975,1803.7024683880009,652.0479681900906,1101.4421761840968,3.5733759340764664,23.43401890500172,0.6194
4,4,64,2.1796488639993186,0.0050509249995229,1735.425534056998,623.3350982890188,1064.56730700791,3.4901600649282045,23.6734726470022,0.6194
